goalkeepers,,,
Player,Team,Points,Cost
Hart,Man City,35,£5.7
Cech,Arsenal,39,£5.5
de Gea,Man Utd,13,£5.5
Courtois,Chelsea,7,£5.3
Howard,Everton,37,£5.1
Mignolet,Liverpool,26,£5.1
Begovic,Chelsea,16,£5.0
Stekelenburg,Southampton,26,£5.0
Lloris,Spurs,30,£5.0
Fabianski,Swansea,27,£5.0
Adrián,West Ham,17,£5.0
Caballero,Man City,1,£4.9
Forster,Southampton,0,£4.9
Foster,West Brom,0,£4.9
Ospina,Arsenal,0,£4.8
Valdés,Man Utd,0,£4.8
Pantilimon,Sunderland,17,£4.8
Romero,Man Utd,21,£4.7
Myhill,West Brom,41,£4.7
Guzan,Aston Villa,23,£4.5
Boruc,Bournemouth,17,£4.5
Blackman,Chelsea,0,£4.5
Speroni,Crystal Palace,0,£4.5
Schmeichel,Leicester,15,£4.5
Wright,Man City,0,£4.5
Krul,Newcastle,23,£4.5
Ruddy,Norwich,19,£4.5
,,,
,,,
Player,Team,Points,Cost
Gazzaniga,Southampton,0,£4.5
Butland,Stoke,31,£4.5
Gomes,Watford,43,£4.5
Arlauskis,Watford,0,£4.5
Lindegaard,West Brom,0,£4.5
Randolph,West Ham,16,£4.5
Bunn,Aston Villa,0,£4.4
Federici,Bournemouth,0,£4.4
Robles,Everton,0,£4.4
Bogdan,Liverpool,0,£4.4
Johnstone,Man Utd,0,£4.4
Vorm,Spurs,2,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Mannone,Sunderland,0,£4.4
Nordfeldt,Swansea,0,£4.4
Davis K,Southampton,0,£4.3
McCarthy,Crystal Palace,18,£4.1
Maddison,Leicester,0,£4.0
Schwarzer,Leicester,0,£4.0
Darlow,Newcastle,0,£4.0
Elliot,Newcastle,0,£4.0
Rudd,Norwich,0,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
Hennessey,Crystal Palace,11,£3.9
,,,
,,,
,,,
Player,Team,Points,Cost
Gazzaniga,Southampton,0,£4.5
Butland,Stoke,31,£4.5
Gomes,Watford,43,£4.5
Arlauskis,Watford,0,£4.5
Lindegaard,West Brom,0,£4.5
Randolph,West Ham,16,£4.5
Bunn,Aston Villa,0,£4.4
Federici,Bournemouth,0,£4.4
Robles,Everton,0,£4.4
Bogdan,Liverpool,0,£4.4
Johnstone,Man Utd,0,£4.4
Vorm,Spurs,2,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
